-X--OXOXO,0.6872339246549534,0.4917060565829233,0.6784640935247215,0.6872379922735659,0.506249505785039,0.5091319070289451,0.5071882542717564,0.500766013741513,0.505944541759435
--OO--X-X,0.7783805029858701,0.14488341590450632,0.5722742198462992,0.4202771803930812,0.17706338114323705,-0.3815285163185085,0.5952457803566514,0.14693668981892177,0.5743693538735269
XX-O---XO,0.5075367805087284,0.507349544102124,0.016336791456131983,0.4999453408460387,0.1127564210887193,4.885287303314501E-4,0.5022163853124882,0.5051458628578918,0.5011715196912339
--OXOOX-X,0.656292638303942,0.1043474175532354,0.4964183746910896,0.5577863957185264,0.40281738388612504,0.5995161222421512,0.47623868294586175,0.40819865143799194,0.45610810715635414
XXO-OOXX-,0.5587486567860873,0.41758860870827846,0.4833465650614942,0.6794728163555717,0.47602418489012643,0.5107371983012918,0.4419282088945844,0.4543561751076044,0.679670915496382
OO-OXXXXO,0.5083662018611409,0.5095922157986629,0.6872379594563112,0.5071456239948803,0.49960088638553835,0.5037418541826431,0.490504120304437,0.4905667871218014,0.5011990494669712
XOO----XX,0.497781578835194,0.49788782793580616,0.4920432985070884,0.03370831030206689,0.756361357169871,0.11352585224519274,0.2036271643474336,0.5091834322945741,0.49540376164751493
-OO-XXXXO,0.6872379505198207,0.49150785078385206,0.4991251433596413,0.5170610175617957,0.4913639970725065,0.5092281278707507,0.506438021780199,0.5075590041575786,0.5088992647924244
X-XOOXX-O,0.49684113996610346,0.4250844326173812,0.5062376751493064,0.5098690862250049,0.4990626036435301,0.5019460762072737,0.509511231177984,0.6940292567645364,0.4922400212507494
XX-XOO-XO,0.5062662535152096,0.5078210123585506,0.7231778436698735,0.5014862224822745,0.5066311825652201,0.5033698634059186,-0.3207551220841338,0.4967190984718104,0.49500848131348535
---X-XO--,0.1542456375394644,0.34521621127962165,0.1714041654444068,0.5013054816219242,0.6872635145920369,0.49828097840949187,0.5043174305229284,0.029822994303720818,0.07686679757773052
--OOXX-XO,0.4934431872345749,0.1390888282716074,0.5020487099311635,0.49173402010482237,0.5055956951403175,0.4932073667495724,0.26576513354109765,0.5050035548832742,0.49332098754137854
-XO--OX-X,0.4696204313629284,0.4550123570987415,0.4426290841724941,0.6111957870359579,0.0710222486862202,0.5154959353231716,0.45989019542186205,0.41014735479260367,0.5337063235654712
--XX-OXOO,0.039644927805435715,0.09461522400462774,0.5823365308718055,0.38619898699064814,1.5778986812660027,0.2649822163282175,0.4968780315342295,0.8813339097813075,0.9952017981335327
-XX-O-O--,0.6548426610887752,0.4911103303396189,0.5084418078116415,0.10199998096636342,0.49029032314187554,0.24240700469614151,0.4959814575088481,0.8538526478768205,0.5958389134003075
OXX-X-O--,0.574049043558577,0.428546261172812,0.5161056892117485,0.6872379580316319,0.4558966518219077,0.2754919155561557,0.4357847614426708,0.6875892153876427,0.4037435760027126
XOOX-X---,0.7688838089896723,0.5334894666370392,0.260100587859442,0.316206668115691,0.6648248108219953,0.1155665266034075,0.5318940290502674,0.34535910211015763,0.23085791761742763
----XOO-X,0.5,0.08370314503397874,0.45707516937768905,0.4210444916677538,0.49384761883063744,0.49824219004560083,0.5075316108998112,0.46409096100923064,0.4907767446671901
-X--OXOX-,0.5057899153502532,0.5073584851809169,0.6873163970638075,0.39798774774433987,0.4997082167860367,0.5031139815704369,0.4952507695922581,0.5078542723444066,0.7338350668532136
XO-X--OOX,0.8261187987580138,0.1774972239013155,1.2667093830466694,0.9971241599952535,0.6794728163555717,0.3004835210217677,0.9313738495988638,0.015626183344095934,0.18700405357870942
OXOX-XOOX,0.5026218327951403,0.49515992565218137,0.5060670900170132,0.4986590572373047,0.6872379594563112,0.5039285000055488,0.4920471957307627,0.49458258148405293,0.5068114243573073
XOO----X-,0.5067848256079389,0.5099905164620767,0.4932692744366081,0.4992100621000607,0.7275656894622248,0.6766658208794764,0.5300147136424638,0.5097789255783343,0.2237539647740423
O-XXOX-O-,0.4987097156544286,0.6872379598136544,0.5075417990274232,0.4935629709063884,0.5028675006285673,0.5009042003870964,0.5852587889254696,0.509783961304434,0.6464919695144813
XXOOOX-OX,0.5042611850545549,0.5092093354875993,0.5045412843140382,0.5085137943144477,0.49939774360248584,0.506995181881771,0.6872379594563112,0.49449186234544334,0.4946098776492602
-X-X-O--O,0.6872578523973438,0.49925710700661746,0.49650372592975905,0.4995400493907203,0.6457736373278463,0.4924482004405429,0.6473897155261038,0.4912674663972372,0.501515983130904
OO-OXXXX-,0.49831832443899626,0.5332929146256863,0.6872379593806616,0.5579211378634494,0.589265053244259,0.45065570591015924,0.4678180293792564,0.40990358400517035,0.35091525228191567
OXXXOOOX-,0.4949935595949489,0.5088557962073665,0.4992488265608695,0.5054793503913007,0.5042856213015041,0.4985809480074965,0.506935855732331,0.5001360185242217,0.6872379594563115
-XO-X-XOO,0.6868131530127675,0.5053995275286043,0.49366842952475926,0.4983421989448196,0.4973472258896874,0.6871455363460856,0.49170047378698367,0.5040684318283459,0.4946357516045526
